,Years,Months,Districts,Amounts_(m3)
0,2015,1,Adalar,370333.756
1,2015,2,Adalar,334257.446
2,2015,3,Adalar,353314.028
3,2015,4,Adalar,286268.529
4,2015,5,Adalar,128612.845
5,2015,6,Adalar,132890.116
6,2015,7,Adalar,140175.257
7,2015,8,Adalar,141850.211
8,2015,9,Adalar,121669.701
9,2015,10,Adalar,204708.722
10,2015,11,Adalar,259002.768
11,2015,12,Adalar,477230.174
12,2016,1,Adalar,805857.928
13,2016,2,Adalar,576996.975
14,2016,3,Adalar,621461.701
15,2016,4,Adalar,287910.089
16,2016,5,Adalar,241786.626
17,2016,6,Adalar,185729.759
18,2016,7,Adalar,185850.381
19,2016,8,Adalar,201465.636
20,2016,9,Adalar,253205.307
21,2016,10,Adalar,513851.252
22,2016,11,Adalar,678463.524
23,2016,12,Adalar,1066322.329
24,2017,1,Adalar,1113949.582
25,2017,2,Adalar,864688.766
26,2017,3,Adalar,800142.804
27,2017,4,Adalar,577863.734
28,2017,5,Adalar,292876.441
29,2017,6,Adalar,206099.726
30,2017,7,Adalar,221998.825
31,2017,8,Adalar,221723.929
32,2017,9,Adalar,290574.004
33,2017,10,Adalar,508554.177
34,2017,11,Adalar,714772.113
35,2017,12,Adalar,846583.178
36,2018,1,Adalar,981215.608
37,2018,2,Adalar,862570.433
38,2018,3,Adalar,760362.378
39,2018,4,Adalar,456645.894
40,2018,5,Adalar,286405.667
41,2018,6,Adalar,211766.01
42,2018,7,Adalar,248798.771
43,2018,8,Adalar,228394.038
44,2018,9,Adalar,341789.498
45,2018,10,Adalar,366209.477
46,2018,11,Adalar,621510.688
47,2018,12,Adalar,960829.468
48,2019,1,Adalar,1106794.439
49,2019,2,Adalar,958118.932
50,2019,3,Adalar,864741.634
51,2019,4,Adalar,703749.95
52,2019,5,Adalar,292997.594
53,2019,6,Adalar,194927.547
54,2019,7,Adalar,246622.852
55,2019,8,Adalar,224814.413
56,2019,9,Adalar,250914.958
57,2019,10,Adalar,300399.112
58,2019,11,Adalar,401108.5
59,2019,12,Adalar,842049.898
60,2020,1,Adalar,1084920.571
61,2020,2,Adalar,916603.414
62,2020,3,Adalar,864653.002
63,2020,4,Adalar,600321.325
64,2020,5,Adalar,257899.182
65,2020,6,Adalar,192661.751
66,2020,7,Adalar,218474.204
67,2020,8,Adalar,216290.004
68,2020,9,Adalar,258271.948
69,2020,10,Adalar,336469.774
70,2020,11,Adalar,885030.59
71,2020,12,Adalar,1101992.014
72,2021,1,Adalar,1214773.233
73,2021,2,Adalar,1077592.281
74,2021,3,Adalar,1143236.085
75,2021,4,Adalar,771061.199
76,2021,5,Adalar,265184.844
77,2021,6,Adalar,226689.056
78,2021,7,Adalar,189341.584
79,2021,8,Adalar,199969.534
80,2021,9,Adalar,196770.01
81,2021,10,Adalar,271633.523
82,2021,11,Adalar,629023.059
83,2021,12,Adalar,935910.846
84,2022,1,Adalar,1177878.054
85,2022,2,Adalar,1002661.921
86,2022,3,Adalar,1246859.335
87,2022,4,Adalar,601790.831
88,2022,5,Adalar,365931.165
89,2022,6,Adalar,211823.912
90,2022,7,Adalar,223271.47
91,2022,8,Adalar,225334.037
92,2022,9,Adalar,215226.467
93,2022,10,Adalar,312603.286
94,2022,11,Adalar,493479.191
95,2022,12,Adalar,797282.008
96,2023,1,Adalar,917305.989
97,2023,2,Adalar,1020407.709
98,2023,3,Adalar,875885.106
99,2023,4,Adalar,528818.51
100,2015,1,Arnavutkoy,8006815.504
101,2015,2,Arnavutkoy,6983336.107
102,2015,3,Arnavutkoy,6784999.154
103,2015,4,Arnavutkoy,4638464.344
104,2015,5,Arnavutkoy,2057901.394
105,2015,6,Arnavutkoy,1714983.375
106,2015,7,Arnavutkoy,1593950.041
107,2015,8,Arnavutkoy,1620388.65
108,2015,9,Arnavutkoy,1657603.556
109,2015,10,Arnavutkoy,2787998.718
110,2015,11,Arnavutkoy,4194145.731
111,2015,12,Arnavutkoy,7747044.149
112,2016,1,Arnavutkoy,9248994.385
113,2016,2,Arnavutkoy,6619479.803
114,2016,3,Arnavutkoy,6351246.93
115,2016,4,Arnavutkoy,2866956.145
116,2016,5,Arnavutkoy,2352343.963
117,2016,6,Arnavutkoy,1713254.603
118,2016,7,Arnavutkoy,1482535.765
119,2016,8,Arnavutkoy,5654767.495
120,2016,9,Arnavutkoy,5647287.42
121,2016,10,Arnavutkoy,8562345.191
122,2016,11,Arnavutkoy,12359740.638
123,2016,12,Arnavutkoy,17915985.585
124,2017,1,Arnavutkoy,20134060.826
125,2017,2,Arnavutkoy,16489198.707
126,2017,3,Arnavutkoy,15393062.955
127,2017,4,Arnavutkoy,11474233.362
128,2017,5,Arnavutkoy,8045641.703
129,2017,6,Arnavutkoy,5954094.749
130,2017,7,Arnavutkoy,6295750.859
131,2017,8,Arnavutkoy,6482230.389
132,2017,9,Arnavutkoy,5852964.025
133,2017,10,Arnavutkoy,8915349.252
134,2017,11,Arnavutkoy,12919126.39
135,2017,12,Arnavutkoy,13929432.752
136,2018,1,Arnavutkoy,20225171.49
137,2018,2,Arnavutkoy,16815361.9
138,2018,3,Arnavutkoy,17291708.473
139,2018,4,Arnavutkoy,10863167.101
140,2018,5,Arnavutkoy,8180132.312
141,2018,6,Arnavutkoy,6066868.836
142,2018,7,Arnavutkoy,6921468.139
143,2018,8,Arnavutkoy,5380327.639
144,2018,9,Arnavutkoy,6371216.444
145,2018,10,Arnavutkoy,8246947.524
146,2018,11,Arnavutkoy,14554304.151
147,2018,12,Arnavutkoy,22664633.014
148,2019,1,Arnavutkoy,24410477.667
149,2019,2,Arnavutkoy,21240221.42
150,2019,3,Arnavutkoy,19631818.021
151,2019,4,Arnavutkoy,15760580.195
152,2019,5,Arnavutkoy,9151096.714
153,2019,6,Arnavutkoy,6245223.884
154,2019,7,Arnavutkoy,7820239.119
155,2019,8,Arnavutkoy,6250101.3
156,2019,9,Arnavutkoy,7643481.917
157,2019,10,Arnavutkoy,9230885.805
158,2019,11,Arnavutkoy,11465771.266
159,2019,12,Arnavutkoy,20496594.036
160,2020,1,Arnavutkoy,26245992.511
161,2020,2,Arnavutkoy,22412521.068
162,2020,3,Arnavutkoy,19875847.917
163,2020,4,Arnavutkoy,11883806.301
164,2020,5,Arnavutkoy,6797132.712
165,2020,6,Arnavutkoy,7474086.773
166,2020,7,Arnavutkoy,7211577.88
167,2020,8,Arnavutkoy,6965803.746
168,2020,9,Arnavutkoy,7880325.709
169,2020,10,Arnavutkoy,8851099.939
170,2020,11,Arnavutkoy,17997324.48
171,2020,12,Arnavutkoy,22373209.877
172,2021,1,Arnavutkoy,25666677.866
173,2021,2,Arnavutkoy,24343706.749
174,2021,3,Arnavutkoy,27803115.734
175,2021,4,Arnavutkoy,19715293.277
176,2021,5,Arnavutkoy,9571574.09
177,2021,6,Arnavutkoy,9219296.167
178,2021,7,Arnavutkoy,7303183.955
179,2021,8,Arnavutkoy,8693148.926
180,2021,9,Arnavutkoy,9417719.095
181,2021,10,Arnavutkoy,13263522.314
182,2021,11,Arnavutkoy,18693203.08
183,2021,12,Arnavutkoy,26539274.299
184,2022,1,Arnavutkoy,31464851.052
185,2022,2,Arnavutkoy,27153324.988
186,2022,3,Arnavutkoy,32833522.991
187,2022,4,Arnavutkoy,17053012.049
188,2022,5,Arnavutkoy,11594811.03
189,2022,6,Arnavutkoy,9849344.575
190,2022,7,Arnavutkoy,7376458.672
191,2022,8,Arnavutkoy,9022383.852
192,2022,9,Arnavutkoy,9179547.108
193,2022,10,Arnavutkoy,11448119.719
194,2022,11,Arnavutkoy,15372003.448
195,2022,12,Arnavutkoy,22992984.145
196,2023,1,Arnavutkoy,25378952.296
197,2023,2,Arnavutkoy,27959643.872
198,2023,3,Arnavutkoy,24048455.746
